employee_id,first_name,last_name,age,gender,blood_group,email,phone,city,state,region,pincode,department,position,shift,education,experience_years,salary,bonus,tax_deduction,net_salary,emp_status,join_date,last_promotion,performance_score,attendance_pct,leaves_taken,order_id,order_date,product_name,category,quantity,unit_price,discount_pct,revenue,tax_amount,net_revenue,order_status,payment_mode,delivery_days,customer_rating,return_flag,customer_id,customer_segment,sales_target,sales_achieved,target_achieved,manager_id,team_size,training_hours,certifications
EMP0001,Yamini,Toor,37,Female,A+,yash83@example.com,+91 6200604502,Mumbai,Maharashtra,South,521981,HR,Analyst,Evening,M.Com,8,31556,3563.56,3155.6,28400.4,Resigned,10-08-2021,24-07-2022,4.24,70.19,25,ORD00001,13-06-2023,Tablet,Networking,4,71982,0.03,279290.16,50272.23,229017.93,Shipped,UPI,3,2,No,CUST2674,Premium,249191,80707,No,EMP0045,20,33,0
EMP0002,Gauri,Apte,46,Other,A-,zdhar@example.org,+91 6810026086,Ahmedabad,Gujarat,South,551722,Marketing,Senior Analyst,Evening,M.Tech,3,165568,17718.91,16556.8,149011.2,Resigned,16-02-2022,18-01-2023,1.65,80.66,21,ORD00002,01-10-2023,Camera,Electronics,10,47900,0.17,397570,71562.6,326007.4,Returned,EMI,3,5,No,CUST3677,VIP,248943,171530,Yes,EMP0088,11,98,0
EMP0003,Ira,Chaudhary,47,Female,B-,xnarula@example.net,+91 9524806516,Bangalore,Karnataka,West,474905,Finance,Director,Evening,BCA,10,33414,5404.66,3341.4,30072.6,On Leave,18-05-2023,12-04-2024,2.71,87.51,11,ORD00003,13-08-2023,Phone,Accessories,7,74841,0.26,387676.38,69781.75,317894.63,Returned,Net Banking,2,1,Yes,CUST3504,Regular,465277,386768,No,EMP0077,3,49,6
EMP0004,Anjali,Raman,38,Female,A-,daksheshray@example.org,+91 8566825638,Kochi,Kerala,South,637881,Sales,Analyst,Night,M.Com,16,147696,24265.62,14769.6,132926.4,Active,05-01-2022,04-09-2022,4.37,85.23,6,ORD00004,06-06-2023,Phone,Peripherals,18,35473,0.23,491655.78,88498.04,403157.74,Pending,Cash,13,5,Yes,CUST6310,VIP,60211,88650,No,EMP0040,8,7,3
EMP0005,Fitan,Prakash,53,Other,B+,sahnisara@example.com,+91 8666585408,Kochi,Kerala,Central,621846,Marketing,Senior Manager,Evening,MCA,2,45645,5014.05,4564.5,41080.5,On Leave,30-11-2019,26-11-2023,2.81,77.44,2,ORD00005,13-12-2023,Camera,Electronics,5,17328,0.2,69312,12476.16,56835.84,Returned,Cash,4,5,No,CUST1117,Premium,421112,360879,Yes,EMP0030,3,4,5
EMP0006,Anirudh,Parekh,39,Other,AB-,kadakiaekansh@example.net,+91 7942478695,Mumbai,Maharashtra,West,613416,Analytics,Senior Manager,Morning,M.Tech,7,159782,23783.14,15978.2,143803.8,On Leave,01-10-2019,22-04-2023,2.87,91.87,21,ORD00006,31-10-2024,Monitor,Electronics,18,17842,0.22,250501.68,45090.3,205411.38,Delivered,Net Banking,12,3,Yes,CUST5073,Regular,149724,311168,No,EMP0018,14,23,4
EMP0007,Upadhriti,Samra,50,Male,B+,brijeshrandhawa@example.com,+91 9621453189,Ahmedabad,Gujarat,West,512065,Marketing,Intern,Morning,MBA,2,90485,9667.96,9048.5,81436.5,Resigned,22-12-2017,21-07-2023,2.14,90.9,23,ORD00007,23-07-2024,Laptop,Networking,18,2434,0.29,31106.52,5599.17,25507.35,Pending,Debit Card,5,2,Yes,CUST9883,Premium,442154,194419,Yes,EMP0007,19,61,8
EMP0008,Tara,Dasgupta,54,Male,AB+,niteshkhatri@example.com,+91 6711684318,Jaipur,Rajasthan,South,703520,Marketing,Analyst,Morning,M.Sc,1,66270,9848.12,6627,59643,On Leave,04-12-2017,23-02-2022,3.68,79.43,8,ORD00008,10-02-2024,Tablet,Accessories,3,78492,0.02,230766.48,41537.97,189228.51,Shipped,Net Banking,6,1,Yes,CUST8508,Premium,88409,311875,Yes,EMP0065,9,16,5
EMP0009,Yashica,Ganguly,40,Other,A+,murthygarima@example.org,+91 8812308209,Mumbai,Maharashtra,North,470407,IT,Director,Morning,M.Tech,11,89037,14367.23,8903.7,80133.3,Inactive,20-01-2018,01-08-2022,3.42,91.53,6,ORD00009,04-12-2024,Printer,Peripherals,18,40151,0.18,592628.76,106673.18,485955.58,Returned,Net Banking,5,1,Yes,CUST7939,New,73114,31858,No,EMP0099,5,81,4
EMP0010,Manan,Srinivas,49,Female,B+,manthanpall@example.net,+91 9236843584,Delhi,Delhi,North,561616,Sales,Executive,Morning,B.Sc,17,140824,11478.77,14082.4,126741.6,Inactive,24-06-2022,30-07-2021,2.41,86.8,27,ORD00010,21-02-2024,Phone,Storage,3,20036,0.16,50490.72,9088.33,41402.39,Pending,Debit Card,14,2,No,CUST7755,Premium,144036,416171,No,EMP0053,8,34,2
